,text,labels
0,SWE 5 Update Wired Mock client for Automating Commit APIs with negative scenarios and boundary conditions  Update Mock clients for automation of Commit  APIs with negative scenarios and boundary conditions Updated Wired Mock client with automation of Commit & Rollback APIs with negative scenarios and boundary conditions_x000D_ To Update WIred Mock client for automation of Commit & Rollback APIs with negative scenarios and boundary conditions we can complete swe5,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
1,SWE6 Automated launching Corvus and executing test cases We need to be able to launch corvus diagnostic tool from terminal in order to executing automated testing pipeline for SWE6 We will get in touch with the software factory team to understand if they have any supporting solutions and will also contact validation team for the same to learn about Corvus i can execute test cases for swe6,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"SWE5 Writing CAPL Script for S2S PDU 2 Learn about CAPL
Automate prt framework launching via python CANOE launching and loading test modules automated and integrated into SWE5 automtaion script to learn about CAPL scripting i can write capl script for s2s pdu2 testing","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
3,SWE5 Testing automation SWE5 automation Updated Mock clients for negative scenarios and boundary conditions_x000D_ To automate swe5 testing we can automate the creation of test execution report,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"SWE 5 Update Wired Mock client for Automating Transfer, Update & Activate APIs with negative scenarios and boundary conditions  Update Mock clients for automation of Transfer, Update and Activate APIs with negative scenarios and boundary conditions Updated Wired Mock client with automation of Transfer, Update and Activate APIs with negative scenarios and boundary conditions_x000D_ To Update WIred Mock client for automation of Transfer, Update and Activate APIs with negative scenarios and boundary conditions we can complete swe5","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
5,BSDIFF Follow up with NVIDIA  Follow up discussions with NVIDIA A report detailing the experiemnet results To validate the BSDIFF release with the patchset we can share the findings with NVIDIA,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
6,"SWE 5 Drafting test cases for swdl interfaces Drafting gherkin test cases for interfaces in SWDL application : 
 s2s_ccplex_aurix_swdl_swdlac_sender_service
 s2s_aurix_ccplex_all_pdu_receiver_service Test cases mapped to jira tickets_x000D_ To create gherkin test cases we can complete swe5","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
7,Review : Create Sanity Testcases for Orin Wired Update Review Sanity testcases for Orin Wired Update Review Sanity testcases for Orin Wired Update,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
8,NVDIFF support in delta script  nvdiff delta package support in delta script Nvdiff support enabled in creating package To add nvdiff packaging support for delta package in delta script we can share the script with integration team,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
9,"BSDIFF Validation for POC 243  NVIDIA has delivered the latest 243 version of the BSDIFF POC
 This task will include validating this release on two avos release versions
We will also test this on the target  A report detailing the experiement results To validate the BSDIFF release with the patchset we can share the findings with NVIDIA","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
