,Unnamed: 0,Issue Key,Summary,Description,Assignee,customfield_10010,customfield_11351,customfield_11352,Skills
0,0,AEX-155244,SWE 5 Update Wired Mock client for Automating Commit APIs with negative scenarios and boundary conditions ,Update Mock clients for automation of Commit  APIs with negative scenarios and boundary conditions,ppable1,"Updated Wired Mock client with automation of Commit & Rollback APIs with negative scenarios and boundary conditions_x000D_
",To Update WIred Mock client for automation of Commit & Rollback APIs with negative scenarios and boundary conditions,we can complete swe5,"C++, Gherkin, Testing"
1,1,AEX-155234,SWE6 Automated launching Corvus and executing test cases,We need to be able to launch corvus diagnostic tool from terminal in order to executing automated testing pipeline for SWE6 We will get in touch with the software factory team to understand if they have any supporting solutions and will also contact validation team for the same,ppable1,,to learn about Corvus,i can execute test cases for swe6,Corvus
2,2,AEX-155229,SWE5 Writing CAPL Script for S2S PDU 2,"Learn about CAPL
Automate prt framework launching via python",ppable1,CANOE launching and loading test modules automated and integrated into SWE5 automtaion script,to learn about CAPL scripting,i can write capl script for s2s pdu2 testing,"capl, canoe"
3,3,AEX-152005,SWE5 Testing automation,SWE5 automation,ppable1,"Updated Mock clients for negative scenarios and boundary conditions_x000D_
",To automate swe5 testing,we can automate the creation of test execution report,"python, c++"
4,4,AEX-146886,"SWE 5 Update Wired Mock client for Automating Transfer, Update & Activate APIs with negative scenarios and boundary conditions ","Update Mock clients for automation of Transfer, Update and Activate APIs with negative scenarios and boundary conditions",ppable1,"Updated Wired Mock client with automation of Transfer, Update and Activate APIs with negative scenarios and boundary conditions_x000D_
","To Update WIred Mock client for automation of Transfer, Update and Activate APIs with negative scenarios and boundary conditions",we can complete swe5,"C++, Gherkin, Testing"
5,5,AEX-145428,BSDIFF Follow up with NVIDIA, Follow up discussions with NVIDIA,ppable1,A report detailing the experiemnet results,To validate the BSDIFF release with the patchset,we can share the findings with NVIDIA,Communication
6,6,AEX-145401,SWE 5 Drafting test cases for swdl interfaces,"Drafting gherkin test cases for interfaces in SWDL application : 
 s2s_ccplex_aurix_swdl_swdlac_sender_service
 s2s_aurix_ccplex_all_pdu_receiver_service",ppable1,"Test cases mapped to jira tickets_x000D_
",To create gherkin test cases,we can complete swe5,Gherkin
7,7,AEX-145191,Review : Create Sanity Testcases for Orin Wired Update,Review Sanity testcases for Orin Wired Update,ppable1,Review Sanity testcases for Orin Wired Update,,,Debugging
8,8,AEX-143604,NVDIFF support in delta script, nvdiff delta package support in delta script,ppable1,Nvdiff support enabled in creating package ,To add nvdiff packaging support for delta package in delta script,we can share the script with integration team,Communication
9,9,AEX-141466,BSDIFF Validation for POC 243," NVIDIA has delivered the latest 243 version of the BSDIFF POC
 This task will include validating this release on two avos release versions
We will also test this on the target ",ppable1,A report detailing the experiement results,To validate the BSDIFF release with the patchset,we can share the findings with NVIDIA,Testing
10,10,AEX-141431,SWE5 Sanity testing SWDL mock adaptive application for Orin Wired Update, test the adaptive SWDL client application SO THAT basic IPC communication can be tested,ppable1,SWDL cli applications is tested for basic IPC communication and check in any changes to git repo,to test the adaptive SWDL client application,it doesn't crash other applications,Testing
11,11,AEX-140279,SWE4: Updating ISL based on new packaging strategy,updating ISL based on new packaging strategy,ppable1,updated ISL based on new packaging strategy,to update ISL based on new packaging strategy,we can have modified isl states,C++
12,12,AEX-136193,"SWE4: Changing commit, activate and post activate classes to adapt to new packaging strategy",DDU Images generated,ppable1,"MR with modified classes for commit, activate and post-activate states",to  change these states classes,we can avoid using metadata files and use aurix route instead,C++
